노선명,구간기점,구간종점,총연장(km),자전거도로폭(m),겸용도로폭(m)-분리형(자전거),겸용도로폭(m)-분리형(보도),겸용도로폭(m)-비분리형,자전거도로종류,데이터기준일자
한림로-1L,옹포리220-1,월령리222,5.65,2,,,2,자전거보행자 겸용도로,2026-03-12
칠전로R,고산리2865-1,청수리2912,6.8,1.5,,,2,자전거보행자 겸용도로,2026-03-12
칠전로L,고산리2865-1,청수리2912,6.8,1.5,,,2,자전거보행자 겸용도로,2026-03-12
평화로R,광령리17-2,금악리산39,16,3,,,3,자전거보행자 겸용도로,2026-03-12
평화로L,광령리17-2,금악리산39,16,3,,,3,자전거보행자 겸용도로,2026-03-12
하귀로R,하귀1리546-1,하귀2리2448-1,1.4,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
하귀로L,하귀1리546-1,하귀2리2448-1,1.4,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
한림중앙로R,한림리1073,동명리365-2,3,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
한림중앙로L,한림리1073,동명리365-2,3,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
한수풀로R,한림리1314-79,귀덕리146-4,3.5,3,,,3,자전거보행자 겸용도로,2026-03-12
한수풀로L,한림리1314-79,귀덕리146-4,3.5,3,,,3,자전거보행자 겸용도로,2026-03-12
한천로L,용담이동2617-1,용담일동189-3,0.55,2,,,3,자전거보행자 겸용도로,2026-03-12
한천로R,용담이동2617-1,용담일동189-3,0.55,2,,,3,자전거보행자 겸용도로,2026-03-12
함덕로R,함덕리279,함덕리산14-58,0.5,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
함덕로L,함덕리279,함덕리산14-58,0.5,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
함와로R,함덕리4151,함덕리291-12,1,1.5,,,,자전거보행자 겸용도로,2026-03-12
함와로L,함덕리4151,함덕리291-12,1,1.5,,,,자전거보행자 겸용도로,2026-03-12
해녀박물관길L,세화리33-5,상도리471-50,0.4,1.6,,,1.6,자전거보행자 겸용도로,2026-03-12
해녀박물관길R,세화리33-5,상도리471-50,0.4,1.6,,,1.6,자전거보행자 겸용도로,2026-03-12
