행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,우,투수콘,572.29,1.92,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,좌,투수콘,792.5,1.94,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,우,투수콘,521.76,1.97,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,우,투수콘,551.28,1.89,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,91.64,1.65,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,329.15,2.3,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,104.45,1.85,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,좌,투수콘,697.39,1.89,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,246.58,0.91,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,147.7,1.29,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,167.32,0.99,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,좌,투수콘,432.75,1.96,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,우,투수콘,346.63,1.8,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,46.47,1.03,0,0,0,도색,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거전용도로,우,투수콘,324.17,1.95,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-2,자전거전용도로,우,투수콘,11.78,3.6,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,43.23,1.98,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,43.37,1.94,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,136.82,1.98,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,우,투수콘,81.67,1.42,0,0,0,경계석,
도고면,도고면 효자리,도시계획과,19000101,기타도로,자전거보행자겸용도로,좌,화학재질,131.1,1.61,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,중로1-1,자전거보행자겸용도로,좌,투수콘,33.96,1.35,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,화학재질,9.69,3.34,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,화학재질,10.53,3.34,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,48.56,1.58,0,0,0,기타,
배방읍,배방읍 공수리,도시계획과,19000101,중로2-3,자전거전용도로,좌,투수콘,23.44,1.48,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,중로2-3,자전거전용도로,좌,투수콘,19.69,1.48,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-2,자전거보행자겸용도로,우,투수콘,70.07,2.01,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,96.5,2.02,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,32.14,2.01,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,투수콘,204.32,2.01,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거자동차겸용도로,중앙,아스팔트,5,2.07,0,0,0,도색,
온양5동,용화동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,135.18,2.01,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,우,투수콘,12.1,1.97,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거자동차겸용도로,중앙,아스팔트,4.93,2.06,0,0,0,도색,
신창면,신창면 남성리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,4.36,1.6,0,0,0,도색,
온양5동,신인동,도시계획과,19000101,중로1-7,자전거보행자겸용도로,좌,콘크리트,22.49,2.31,0,0,0,경계석,
도고면,도고면 기곡리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,블록,124.4,2.49,0,0,0,도색,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,7.82,1.42,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,216.3,1.63,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,39.31,1.9,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,57.63,1.9,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-18,자전거보행자겸용도로,좌,투수콘,43.72,1.23,0,0,0,경계석,
신창면,신창면 남성리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,128.89,1.6,0,0,0,도색,
탕정면,탕정면 갈산리,도시계획과,20090101,광(주)3-1,자전거보행자겸용도로,좌,투수콘,573.12,2.9,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,지방도로623,자전거전용도로,좌,투수콘,4.1,1.6,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,26.64,1.56,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,250.6,1.57,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,55.55,1.51,0,0,0,기타,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,2.42,1.24,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,21.96,1.56,0,0,0,기타,
인주면,인주면 걸매리,도시계획과,19000101,중로1-5,자전거보행자겸용도로,좌,투수콘,11.7,1.99,0,0,0,경계석,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,13.05,1.72,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,우,투수콘,100.23,1.79,0,0,0,도색,
온양1동,온천동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,35.82,1.23,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,32.46,1.41,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)1-1,자전거보행자겸용도로,좌,투수콘,132.4,1.9,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)1-1,자전거보행자겸용도로,우,투수콘,282.41,1.9,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)1-1,자전거보행자겸용도로,좌,투수콘,156.74,1.9,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,7.62,2,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,7.6,1.97,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-3,자전거자동차겸용도로,좌,아스팔트,4.92,2.07,0,0,0,도색,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거전용도로,좌,투수콘,487.11,1.96,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거전용도로,우,투수콘,33.31,1.96,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거전용도로,좌,투수콘,510.35,2.02,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,114.68,1.91,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,165.53,1.96,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,좌,투수콘,266.95,1.97,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,49.98,1.95,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,21.19,1.95,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로3-2,자전거보행자겸용도로,우,투수콘,18.92,2.17,0,0,0,기타,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,35.83,1.54,0,0,0,기타,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,우,투수콘,110.44,1.82,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,31.94,1.69,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-4,자전거보행자겸용도로,우,투수콘,34.2,1.5,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,58.02,1.64,0,0,0,기타,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,14.47,3.34,0,0,0,기타,
온양4동,방축동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,좌,투수콘,6.04,2.37,0,0,0,도색,
온양4동,방축동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,좌,투수콘,1.43,2.37,0,0,0,도색,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-3,자전거보행자겸용도로,좌,투수콘,63.23,2.1,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,지방도로623,자전거전용도로,우,투수콘,20.42,2.02,0,0,0,경계석,
탕정면,탕정면 용두리,도시계획과,20090101,광(주)3-1,자전거보행자겸용도로,좌,투수콘,34.3,6,0,0,0,경계석,
탕정면,탕정면 용두리,도시계획과,20090101,광(주)3-1,자전거보행자겸용도로,좌,투수콘,116.89,3,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,투수콘,397.94,2.18,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,67.68,1.98,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,투수콘,73.7,2.04,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,122.74,2,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,186.38,2.02,0,0,0,경계석,
온양5동,초사동,도시계획과,19000101,시군도로9,자전거전용도로,우,투수콘,19.41,5.2,0,0,0,도색,
온양3동,모종동,도시계획과,19000101,중로2-28,자전거전용도로,우,투수콘,79.8,1.25,0,0,0,도색,
온양3동,모종동,도시계획과,19000101,중로2-28,자전거전용도로,우,투수콘,71.87,1.39,0,0,0,도색,
온양3동,모종동,도시계획과,19000101,중로2-28,자전거전용도로,좌,투수콘,4.98,1.86,0,0,0,도색,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,154.4,1.6,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,좌,투수콘,166,2.23,0,0,0,도색,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,좌,투수콘,205.29,1.79,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)3-3,자전거자동차겸용도로,우,아스팔트,27.8,1.83,0,0,0,도색,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,우,투수콘,2.22,1.51,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,우,투수콘,131.29,1.43,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,우,투수콘,7.85,1.37,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,중로1-1,자전거보행자겸용도로,좌,투수콘,29.99,1.39,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-18,자전거보행자겸용도로,좌,투수콘,25.29,1.42,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)2-2,자전거보행자겸용도로,우,투수콘,119.03,2.2,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,19000101,리도_203,자전거보행자겸용도로,우,투수콘,53.66,2.18,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,19000101,리도_204,자전거보행자겸용도로,좌,투수콘,15.05,2.18,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,19000101,기타도로342,자전거보행자겸용도로,우,투수콘,38.04,2.13,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,19000101,기타도로342,자전거보행자겸용도로,좌,투수콘,30.46,2.14,0,0,0,경계석,
배방읍,배방읍 휴대리,도시계획과,19000101,기타도로342,자전거보행자겸용도로,중앙,투수콘,21.11,2.02,0,0,0,경계석,
배방읍,배방읍 휴대리,도시계획과,19000101,기타도로342,자전거보행자겸용도로,중앙,투수콘,15.43,1.99,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,19000101,리도_203,자전거보행자겸용도로,좌,투수콘,104.23,2.18,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,172.38,2.52,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,114.16,2.33,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,62.37,2.62,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,11.99,1.13,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,좌,투수콘,63.74,1.94,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로215,자전거보행자겸용도로,좌,투수콘,346.63,1.86,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로213,자전거보행자겸용도로,좌,투수콘,76.06,1.85,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,231.04,1.09,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,좌,투수콘,409.52,1.96,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,좌,투수콘,174.63,1.91,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로216,자전거보행자겸용도로,우,블록,34.25,1.89,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로216,자전거보행자겸용도로,우,투수콘,7.18,1.89,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로213,자전거보행자겸용도로,우,투수콘,85.78,2,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,73.82,1.05,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,리도_204,자전거보행자겸용도로,좌,투수콘,83.3,1.04,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,우,투수콘,63.35,1.89,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,우,투수콘,272.33,1.95,0,0,0,경계석,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,51.43,1.17,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,14.32,1.66,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,130.27,2.89,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,34.45,1.04,0,0,0,도색,
탕정면,탕정면 명암리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,좌,투수콘,67.1,1.96,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,우,투수콘,225.95,1.85,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,리도_204,자전거보행자겸용도로,우,투수콘,39.78,0.95,0,0,0,도색,
온양5동,초사동,도시계획과,19000101,국도21,자전거전용도로,우,콘크리트,39.25,8.23,0,0,0,경계석,
온양5동,초사동,도시계획과,19000101,국도21,자전거전용도로,좌,콘크리트,44.31,8.25,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,중로2-7,자전거전용도로,좌,투수콘,54.85,1.5,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,중로1-1,자전거보행자겸용도로,좌,투수콘,28.35,1.34,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,중로1-1,자전거보행자겸용도로,좌,투수콘,23.99,1.05,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,중로1-1,자전거보행자겸용도로,좌,투수콘,273.37,1.38,0,0,0,경계석,
도고면,도고면 기곡리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,블록,108.8,2.3,0,0,0,도색,
온양1동,온천동,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,화학재질,24.03,3.36,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,우,투수콘,83.05,1.75,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로3-17,자전거보행자겸용도로,우,투수콘,96.7,1.91,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,중로2-28,자전거전용도로,우,투수콘,49.74,1.34,0,0,0,도색,
온양3동,모종동,도시계획과,19000101,중로2-28,자전거전용도로,우,투수콘,47.88,1.3,0,0,0,도색,
온양2동,온천동,도시계획과,19000101,대로3-15,자전거보행자겸용도로,좌,투수콘,2.41,1.31,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-3,자전거전용도로,우,투수콘,11.42,1.37,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-3,자전거전용도로,우,투수콘,6.56,1.4,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-4,자전거보행자겸용도로,우,투수콘,36.56,1.5,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,우,투수콘,193.8,1.85,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,좌,투수콘,9.83,1.78,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,3.41,1.52,0,0,0,기타,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,43.86,1.47,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,12.18,4.05,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-17,자전거보행자겸용도로,좌,투수콘,38.49,1.71,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,좌,투수콘,14.28,1.35,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,좌,투수콘,32.44,1.33,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거자동차겸용도로,중앙,아스팔트,4.05,2.08,0,0,0,도색,
온양5동,용화동,도시계획과,19000101,소로2-273,자전거전용도로,우,투수콘,79.76,2.38,0,0,0,도색,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,38.42,2,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,좌,투수콘,13.33,3.86,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거보행자겸용도로,좌,투수콘,92.33,1.9,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,6.65,1.98,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-11,자전거보행자겸용도로,우,투수콘,103.01,1.99,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,중로2-4,자전거전용도로,좌,투수콘,16.18,1.49,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,대로2-1,자전거전용도로,좌,투수콘,10.63,1.59,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,53.38,1.61,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,좌,투수콘,16.82,1.44,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,좌,투수콘,175.95,1.44,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,기타도로,자전거보행자겸용도로,좌,합성재,19.96,2,0,0,0,도색,
배방읍,배방읍 공수리,도시계획과,19000101,대로2-2,자전거전용도로,좌,투수콘,8.52,1.65,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,소로2-273,자전거전용도로,우,투수콘,10.65,2.37,0,0,0,도색,
온양2동,온천동,도시계획과,19000101,소로2-273,자전거전용도로,우,투수콘,65.2,2.55,0,0,0,도색,
온양5동,용화동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,우,투수콘,36.33,1.45,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,266.46,1.6,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-4,자전거보행자겸용도로,우,투수콘,57.45,1.5,0,0,0,경계석,
배방읍,배방읍 공수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,118.07,1.3,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)3-3,자전거보행자겸용도로,우,투수콘,154.21,2.8,0,0,0,경계석,
신창면,신창면 행목리,도시계획과,19000101,국도21,자전거전용도로,우,투수콘,6.12,1.64,0,0,0,경계석,
온양4동,방축동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,좌,투수콘,361.2,2.3,0,0,0,도색,
온양5동,신인동,도시계획과,19000101,중로1-7,자전거보행자겸용도로,좌,콘크리트,57.21,2.3,0,0,0,경계석,
온양5동,신인동,도시계획과,19000101,중로1-7,자전거보행자겸용도로,좌,콘크리트,157.3,0.92,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,투수콘,76.82,2.19,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,좌,투수콘,24.79,1.46,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,우,투수콘,263.43,1.4,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)2-2,자전거자동차겸용도로,우,아스팔트,5.88,2.07,0,0,0,도색,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,우,투수콘,6.75,1.35,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,56.09,2,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거전용도로,좌,투수콘,8.82,1.97,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로3-5,자전거보행자겸용도로,우,투수콘,29.18,1.43,0,0,0,경계석,
탕정면,탕정면 용두리,도시계획과,20090101,대(보)3-1,자전거자동차겸용도로,좌,아스팔트,19.38,1.89,0,0,0,도색,
도고면,도고면 기곡리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,블록,40.53,2.57,0,0,0,도색,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,좌,투수콘,9.95,1.97,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,좌,투수콘,27.38,1.97,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,좌,투수콘,144.03,1.95,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-3,자전거보행자겸용도로,우,투수콘,91.26,2.1,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,23.21,1.6,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,58.01,1.54,0,0,0,경계석,
탕정면,탕정면 용두리,도시계획과,20090101,대(보)3-1,자전거보행자겸용도로,우,투수콘,149.75,2,0,0,0,경계석,
배방읍,배방읍 세교리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,134.67,1.51,0,0,0,도색,
배방읍,배방읍 북수리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,투수콘,134.47,1.9,0,0,0,도색,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,좌,투수콘,34.41,1.81,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,좌,투수콘,1.43,1.6,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로1-2,자전거보행자겸용도로,좌,투수콘,44.98,1.62,0,0,0,경계석,
온양6동,풍기동,도시계획과,19000101,대로3-17,자전거보행자겸용도로,우,투수콘,3.69,1.68,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)2-2,자전거자동차겸용도로,좌,아스팔트,9.49,2.09,0,0,0,도색,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,27.03,1.44,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,2.45,1.18,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)2-2,자전거보행자겸용도로,우,투수콘,108.34,2.2,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,대(집)2-2,자전거보행자겸용도로,좌,투수콘,158.08,2.2,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,대로3-10,자전거보행자겸용도로,우,투수콘,18.07,2.34,0,0,0,경계석,
