행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
배방읍,배방읍 장재리,도시계획과,20110101,중(집)1-8,자전거보행자겸용도로,좌,투수콘,95.57,2.01,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,20110101,광(보)3-3,자전거보행자겸용도로,우,투수콘,154.12,2.01,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,20110101,대(집)3-8,자전거보행자겸용도로,좌,투수콘,17.16,2.06,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,20110101,대(집)3-7,자전거보행자겸용도로,좌,투수콘,24.6,2.04,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거보행자겸용도로,좌,투수콘,184.79,2.01,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거보행자겸용도로,우,투수콘,218.46,2,0,0,0,경계석,
배방읍,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거보행자겸용도로,좌,투수콘,11.56,2.09,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,160.26,1.53,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,217.95,1.91,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,101.15,1.54,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,87.47,2.01,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,114.28,1.95,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,3.68,2.01,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,169.92,1.46,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,183.08,2.01,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,88.88,2.09,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,55.88,1.97,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,23.35,1.96,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,65.61,2,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,76.33,1.54,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,968.45,2.03,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,673.85,1.48,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,370.42,1.89,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,46.48,1.94,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,광(주)3-1,자전거전용도로,좌,투수콘,341.55,1.46,0,0,0,경계석,
도고면,도고면 기곡리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,블록,40.06,2.39,0,0,0,도색,
도고면,도고면 기곡리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,블록,109.3,2.6,0,0,0,도색,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,8.11,1.91,0,0,0,경계석,
배방읍,배방읍 북수리,도시계획과,19000101,대로2-2,자전거전용도로,우,투수콘,33.27,1.93,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-4,자전거보행자겸용도로,우,투수콘,7.76,1.5,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,소로4-62,자전거보행자겸용도로,우,투수콘,3.55,2.4,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,대로3-10,자전거보행자겸용도로,우,투수콘,76.71,2.36,0,0,0,경계석,
온양2동,온천동,도시계획과,19000101,대로3-10,자전거보행자겸용도로,우,투수콘,37.25,2.51,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,170.42,1.62,0,0,0,기타,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,2.45,1.69,0,0,0,기타,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,10.29,1.62,0,0,0,기타,
온양4동,방축동,도시계획과,19000101,중로2-6,자전거보행자겸용도로,우,투수콘,13.89,3.9,0,0,0,도색,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,42.17,1.54,0,0,0,기타,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,3.46,1.08,0,0,0,기타,
탕정면,탕정면 용두리,도시계획과,20090101,대(보)3-1,자전거보행자겸용도로,우,투수콘,35.53,4.3,0,0,0,경계석,
신창면,신창면 행목리,도시계획과,19000101,지방도로623,자전거전용도로,우,투수콘,7.61,1.6,0,0,0,경계석,
탕정면,탕정면 명암리,도시계획과,20090101,광(주)3-1,자전거보행자겸용도로,좌,투수콘,202.73,3,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,5.66,2.01,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거보행자겸용도로,우,투수콘,139.65,2,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거보행자겸용도로,좌,투수콘,139.27,2,0,0,0,경계석,
온양5동,초사동,도시계획과,19000101,기타도로,자전거전용도로,좌,투수콘,200.85,2.84,0,0,0,도색,
온양5동,초사동,도시계획과,19000101,기타도로,자전거전용도로,좌,투수콘,261.18,2.79,0,0,0,도색,
