공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
460,AE543,2239,4143010700,376121527A,MNG001,100085,,209.85,2.07,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198239.7591,532074.825
461,AE543,2236,4143010700,376121527B,MNG001,100110,,235.47,2.22,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198467.6934,532100.4585
462,AE543,102,4143010700,376121535D,MNG001,220,,40.50999832,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,197778.1427,531247.2378
463,AE543,2229,4143010700,376121526C,MNG001,100062,,101.17,3.05,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197925.9267,531790.0931
464,AE543,2217,4143010700,376121526D,MNG001,100080,,37.32,1.9,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198209.3186,531994.2048
465,AE543,2224,4143010700,376121525B,MNG001,100060,,60.51,2.62,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197781.1898,532078.3893
466,AE543,2232,4143010700,376121526D,MNG001,100071,,225.88,2.07,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198057.5004,531816.7308
468,AE543,2216,4143010700,376121526C,MNG001,100129,,209.26,2.83,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197845.6288,531925.8396
469,AE543,2212,4143010700,376121526D,MNG001,100071,,135.57,2,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198009.7272,531802.2448
470,AE543,2222,4143010700,376121536B,MNG001,100100,,26.42,3.12,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198070.8707,531637.5514
471,AE543,2218,4143010700,376121527A,MNG001,100086,,130.57,2.04,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198289.1413,532094.1852
472,AE543,2225,4143010700,376121526A,MNG001,100060,,57.31,2.02,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197824.0305,532132.328
447,AE543,2223,4143010700,376121536B,MNG001,100095,,98.15,2.91,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198020.7758,531683.1477
448,AE543,2234,4143010700,376121527C,MNG001,100107,,24.59,3.84,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198277.7517,531882.9489
449,AE543,22,4143010900,376121517C,MNG001,41,,45.45000076,1.10000002,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,198389.7998,532548.9788
450,AE543,24,4143010900,376121517C,MNG001,41,,113.7300034,1.10000002,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,198374.8986,532536.7723
451,AE543,2220,4143010700,376121536A,MNG001,100065,,203.85,2.02,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197821.8161,531593.2524
452,AE543,17,4143010900,376121517A,MNG001,39,,26.54000092,1,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,198386.2751,532749.661
