노선명,시도명,시군구명,도로구간-기점,도로구간-종점,총길이(km),자전거도로너비(m),데이터기준일자
칠성남로,대구광역시,북구,대구광역시 북구 고성동2가 122-1,대구광역시 북구 칠성동1가 147-1,4.5,2.3,2025-11-27
칠곡중앙대로,대구광역시,북구,대구광역시 북구 팔달동 172-1,대구광역시 북구 동호동 548-23,14.36,2.5,2025-11-27
팔달로,대구광역시,북구,대구광역시 북구 노원동3가 500-1,대구광역시 북구 노원동2가 257-1,2.35,3,2025-11-27
옥산로,대구광역시,북구,대구광역시 북구 노원동1가 270-1,대구광역시 북구 칠성동2가 45-11,2.04,4.33,2025-11-27
신암로,대구광역시,북구,대구광역시 북구 칠성동1가 111-10,대구광역시 북구 대현동 274-65,1.35,3.95,2025-11-27
원대로,대구광역시,북구,대구광역시 북구 고성동2가 117-10,대구광역시 북구 침산동 448-2,1.5,4,2025-11-27
동북로,대구광역시,북구,대구광역시 북구 산격동 1519-12,대구광역시 북구 복현동 694,6.49,1.5,2025-11-27
공항로,대구광역시,북구,대구광역시 북구 복현동 539-123,대구광역시 북구 복현동 276-2,2.32,3,2025-11-27
침산남로,대구광역시,북구,대구광역시 북구 노원동1가 270-1,대구광역시 북구 침산동 260-2,2.76,4.65,2025-11-27
호국로,대구광역시,북구,대구광역시 북구 산격동 570-6,대구광역시 북구 동호동 407-1,15.88,2.54,2025-11-27
대구체육관로,대구광역시,북구,대구광역시 북구 산격동 1441-4,대구광역시 북구 산격동 1498-1,0.6,5,2025-11-27
대학로,대구광역시,북구,대구광역시 북구 산격동 1382-28,대구광역시 북구 복현동 400-1,2.74,1.35,2025-11-27
대현로,대구광역시,북구,대구광역시 북구 대현동 411-1,대구광역시 북구 대현동 3-2,2.29,4.36,2025-11-27
무지개로,대구광역시,북구,대구광역시 북구 침산동 400-7,대구광역시 북구 칠성동2가 20-1,0.9,1.3,2025-11-27
침산로,대구광역시,북구,대구광역시 북구 칠성동2가 236-31,대구광역시 북구 침산동 764,5.63,2.4,2025-11-27
구암로,대구광역시,북구,대구광역시 북구 관음동 1375,대구광역시 북구 동천동 880-1,7.72,4,2025-11-27
학정로,대구광역시,북구,대구광역시 북구 태전동 881-10,대구광역시 북구 학정동 953,11.95,3.76,2025-11-27
태암로,대구광역시,북구,대구광역시 북구 태전동 1031,대구광역시 북구 구암동 682-8,1.8,3.03,2025-11-27
대천로,대구광역시,북구,대구광역시 북구 동천동 932-2,대구광역시 북구 구암동 789-4,1.74,1.45,2025-11-27
태암남로,대구광역시,북구,대구광역시 북구 태전동 1074-2,대구광역시 북구 구암동 747,1.34,2.95,2025-11-27
연암로,대구광역시,북구,대구광역시 북구 산격동 1382-59,대구광역시 북구 산격동 709-2,4.05,3.23,2025-11-27
성북로,대구광역시,북구,대구광역시 북구 침산동 448-2,대구광역시 북구 침산동 335-1,1.84,4.5,2025-11-27
오봉로,대구광역시,북구,대구광역시 북구 노원동2가 255,대구광역시 북구 노원동3가 1199-15,3.37,4,2025-11-27
중앙대로,대구광역시,북구,대구광역시 북구 태평로1가 44,대구광역시 북구 침산동 22-5,2.67,2.73,2025-11-27
관음로,대구광역시,북구,대구광역시 북구 태전동 51-8,대구광역시 북구 읍내동 1274,4.34,4,2025-11-27
팔거천동로,대구광역시,북구,대구광역시 북구 구암동 670-11,대구광역시 북구 동천동 892-1,4.58,2.8,2025-11-27
팔거천서로,대구광역시,북구,대구광역시 북구 태전동 1029-6,대구광역시 북구 읍내동 1234-11,3.9,3.5,2025-11-27
유통단지로8길,대구광역시,북구,대구광역시 북구 산격동 1665,대구광역시 북구 산격동 1805,2.47,4.5,2025-11-27
유통단지로,대구광역시,북구,대구광역시 북구 산격동 1629,대구광역시 북구 산격동 1775,2.5,6.5,2025-11-27
유통단지로7길,대구광역시,북구,대구광역시 북구 산격동 1626,대구광역시 북구 산격동 1772,2.4,4,2025-11-27
유통단지로14길,대구광역시,북구,대구광역시 북구 산격동 1668,대구광역시 북구 산격동 1667,0.5,5.04,2025-11-27
검단공단로,대구광역시,북구,대구광역시 북구 산격동 1817,대구광역시 북구 산격동 1772,1.6,5.34,2025-11-27
동암로,대구광역시,북구,대구광역시 북구 읍내동 514-5,대구광역시 북구 국우동 1101-5,3.88,3.7,2025-11-27
구암로32길,대구광역시,북구,대구광역시 북구 구암동 655-4,대구광역시 북구 구암동 651,0.9,3.07,2025-11-27
구암로49길,대구광역시,북구,대구광역시 북구 동천동 872-1,대구광역시 북구 구암동 837,1.71,2,2025-11-27
구리로,대구광역시,북구,대구광역시 북구 학정동 868,대구광역시 북구 학정동 983-2,2.25,2,2025-11-27
호암로,대구광역시,북구,대구광역시 북구 칠성동2가 725,대구광역시 북구 침산동 105-62,1.02,2,2025-11-27
침산로22길,대구광역시,북구,대구광역시 북구 침산동 227-1,대구광역시 북구 침산동 105-65,1.02,2,2025-11-27
팔거천(좌안),대구광역시,북구,대구광역시 북구 매천동 295,대구광역시 북구 봉암리 531-3,5.47,3,2025-11-27
매천로,대구광역시,북구,대구광역시 북구 태전동 49-2,대구광역시 북구 팔달동 15-15,6.86,2,2025-11-27
매천로2길,대구광역시,북구,대구광역시 북구 팔달동 222-1,대구광역시 북구 팔달동 118-5,1.2,2,2025-11-27
매전로,대구광역시,북구,대구광역시 북구 매천동 677,대구광역시 북구 태전동 1104,1.7,1.5,2025-11-27
태전로,대구광역시,북구,대구광역시 북구 태전동 206-2,대구광역시 북구 태전동 60,1.82,2,2025-11-27
서변로,대구광역시,북구,대구광역시 북구 서변동 1796,대구광역시 북구 서변동 1766,2.39,2,2025-11-27
호국로 43길,대구광역시,북구,대구광역시 북구 서변동 1790,대구광역시 북구 서변동 1787,0.2,2,2025-11-27
동변로,대구광역시,북구,대구광역시 북구 동변동 682,대구광역시 북구 동변동 662,1.85,2,2025-11-27
동변로 23길,대구광역시,북구,대구광역시 북구 동변동 680,대구광역시 북구 동변동 680,0.55,2,2025-11-27
화담길,대구광역시,북구,대구광역시 북구 동변동 683,대구광역시 북구 동변동 699,1.45,3,2025-11-27
내곡로,대구광역시,북구,대구광역시 북구 사수동 965,대구광역시 북구 사수동 907,1.62,1.2,2025-11-27
한강로,대구광역시,북구,대구광역시 북구 금호동 815,대구광역시 북구 사수동 987,1.1,1.5,2025-11-27
한강로 4길,대구광역시,북구,대구광역시 북구 사수동 847,대구광역시 북구 사수동 837,0.34,1.5,2025-11-27
사수동 982,대구광역시,북구,대구광역시 북구 사수동 821,대구광역시 북구 사수동 832,0.36,1,2025-11-27
호국로,대구광역시,북구,대구광역시 북구 서변동 1798,대구광역시 북구 서변동 1630-238,0.63,4,2025-11-27
지범로,대구광역시,수성구,대구광역시 수성구 두산동 321-5,대구광역시 수성구 범물동 1285,4.8,4.3,2025-11-27
희망로,대구광역시,수성구,대구광역시 수성구 중동 645,대구광역시 수성구 황금동 777-1,3,3.6,2025-11-27
청수로,대구광역시,수성구,대구광역시 수성구 중동 551-8,대구광역시 수성구 황금동 220,5.88,4.5,2025-11-27
명덕로,대구광역시,수성구,대구광역시 수성구 수성동1가 249-231,대구광역시 수성구 범어동 775-60,3,3.5,2025-11-27
달구벌대로,대구광역시,수성구,대구광역시 수성구 수성동1가 96-2,대구광역시 수성구 사월동 371-6,21.45,5,2025-11-27
동대구로,대구광역시,수성구,대구광역시 수성구 지산동 1055-1,대구광역시 수성구 범어동 834,8,6.84,2025-11-27
