행정읍면동,설치일자,자전거노선명,자전거도로구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류
벌용동,2004-09-17,,자전거보행자겸용도로,블록,97.27,1.45,0,0,0,도색
벌용동,2004-09-09,,자전거전용도로,고압블럭,42.91,1.4,0,0,0,경계석
벌용동,2004-09-09,,자전거전용도로,고압블럭,98.5,1.5,0,0,0,경계석
선구동,2004-09-09,,자전거전용도로,고압블럭,11.98,1.45,0,0,0,경계석
선구동,2004-09-09,,자전거전용도로,고압블럭,11.32,1.35,0,0,0,경계석
선구동,2004-09-09,,자전거전용도로,고압블럭,99.99,1.25,0,0,0,경계석
선구동,2004-09-09,,자전거전용도로,고압블럭,10.93,1.24,0,0,0,경계석
선구동,2004-09-09,,자전거전용도로,고압블럭,99.99,1.24,0,0,0,경계석
선구동,2004-09-09,,자전거전용도로,고압블럭,48.2,1.25,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,4.85,2.5,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,34.27,2.2,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,46.47,2,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,2,2,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,1.16,2,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,30.06,2.5,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,49.45,2.5,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,3.14,2.5,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,1.92,2.5,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,31.72,2.3,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,46.32,2.3,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,2.96,2.5,0,0,0,경계석
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,18.62,2.4,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,26.36,2,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,20.68,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,6.48,2,0,0,0,경계석
사남면,1960-01-01,중로1-1,자전거보행자겸용도로,고압블럭,40.24,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-1,자전거보행자겸용도로,고압블럭,2.19,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,81.48,1.5,0,0,0,경계석
사남면,1960-01-01,중로2-6,자전거보행자겸용도로,고압블럭,5.46,2,0,0,0,경계석
사남면,1960-01-01,중로2-5,자전거보행자겸용도로,고압블럭,89.95,2,0,0,0,경계석
사남면,1960-01-01,중로2-5,자전거보행자겸용도로,고압블럭,26.25,2,0,0,0,경계석
사남면,1960-01-01,중로2-5,자전거보행자겸용도로,고압블럭,4.49,2,0,0,0,경계석
사남면,1960-01-01,중로2-5,자전거보행자겸용도로,고압블럭,83.16,1.5,0,0,0,경계석
사남면,1960-01-01,,자전거보행자겸용도로,고압블럭,16.86,1.5,0,0,0,경계석
사남면,1960-01-01,,자전거보행자겸용도로,고압블럭,0.62,1.5,0,0,0,경계석
사남면,1960-01-01,중로2-4,자전거보행자겸용도로,고압블럭,5.91,1.5,0,0,0,경계석
사남면,1960-01-01,중로2-5,자전거보행자겸용도로,고압블럭,1.33,1.5,0,0,0,경계석
사남면,1960-01-01,중로2-4,자전거보행자겸용도로,고압블럭,3.59,2,0,0,0,경계석
사남면,1960-01-01,중로2-4,자전거보행자겸용도로,고압블럭,6.01,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,1.92,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,1.72,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,41.85,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,42.43,2,0,0,0,경계석
