일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도,도로연계성,자전거도로 종류,연장,전용도로 폭원,자전거도로 폭원(분리형),보도 폭원(분리형),유효폭원측정1(비분리형),도로폭원(비분리형),유효폭원측정2(비분리형),보행량 (점),데이터기준일자
154,쪽구름로L,동산동518-2,127.0800136,35.8659353,반월동 746-3,127.074171,35.8735038,반월동 726-1,127.0640474,35.8746711,Y,겸용도로,2.1,0,1.3,1.7,3,4,4,2,2026-05-14
155,쪽구름로R,동산동518-2,127.0800136,35.8659353,반월동 746-3,127.074171,35.8735038,반월동 726-1,127.0640474,35.8746711,Y,겸용도로,2.1,0,1.3,1.7,3,4,4,2,2026-05-14
156,천마산로L,송천동2가529-7,127.1221227,35.8639353,송천동2가 202-72,127.1280138,35.864613,송천동1가12-10(진흥더블파크아파트),127.1324423,35.8639213,Y,겸용도로,1.4,0,0,0,0,2.2,2.2,3,2026-05-14
157,천마산로R,송천동2가529-7,127.1221227,35.8639353,송천동2가 202-72,127.1280138,35.864613,송천동1가12-10(진흥더블파크아파트),127.1324423,35.8639213,Y,겸용도로,1.4,0,0,0,0,2.2,2.2,3,2026-05-14
158,천잠로1L,효자동2가750-1(전주비전대학입구),127.0981068,35.802066,효자동3가 583-1,127.0946135,35.8205801,효자동3가1404-3(썬플라워예식장),127.100979,35.8384962,Y,겸용도로,4.65,0,2.5,2,4.5,0,0,4,2026-05-14
159,천잠로1R,효자동2가750-1(전주비전대학입구),127.0981068,35.802066,효자동3가 583-1,127.0946135,35.8205801,효자동3가1404-3(썬플라워예식장),127.100979,35.8384962,Y,겸용도로,4.65,0,2.1,2,4.1,0,0,4,2026-05-14
160,천잠로2L,삼천농협공판장,127.1122057,35.7923816,삼천동2가 275-5,127.1099769,35.7923873,세내교,127.1083946,35.7937691,Y,겸용도로,1.8,0,1.5,2.5,4,0,0,2,2026-05-14
161,천잠로2R,삼천농협공판장,127.1122057,35.7923816,삼천동2가 275-5,127.1099769,35.7923873,세내교,127.1083946,35.7937691,Y,겸용도로,1.8,0,1.5,3,4.5,0,0,3,2026-05-14
162,추탄로L,덕진동2가530-1,127.1102217,35.8413811,덕진동2가 571,127.1092027,35.8441138,덕진동2가625-6,127.1091176,35.8476722,Y,겸용도로,0.75,0,0,0,0,1.3,1.3,3,2026-05-14
163,추탄로R,덕진동2가530-1,127.1102217,35.8413811,덕진동2가 571,127.1092027,35.8441138,덕진동2가625-6,127.1091176,35.8476722,Y,겸용도로,0.75,0,0,0,0,1.2,1.2,3,2026-05-14
164,출판로L,갈산리 639-5(에코르102동 앞 삼거리),,,장동 151-8,,,장동 1112(전북개발공사 앞),,,,겸용도로,0.5,0,1.5,2,3.5,0,0,,2026-05-14
165,출판로R,갈산리 639-5(에코르102동 앞 삼거리),,,장동 151-8,,,장동 1112(전북개발공사 앞),,,,겸용도로,0.5,0,1.5,2,3.5,0,0,,2026-05-14
166,충경로L,다가동3가82-1(백합주단),127.1399872,35.816352,경원동1가 45,127.1474145,35.8185808,경원동3가93-19(금성화원),127.1526686,35.8203816,Y,겸용도로,1.25,0,0,0,0,3.5,3.5,4,2026-05-14
167,충경로R,다가동3가82-1(백합주단),127.1399872,35.816352,경원동1가 45,127.1474145,35.8185808,경원동3가93-19(금성화원),127.1526686,35.8203816,Y,겸용도로,1.25,0,0,0,0,3.6,3.6,4,2026-05-14
168,콩쥐팥쥐로L,만성동 771,127.0581333,35.8252308,상림동 67-19,127.0743319,35.8249972,효자동3가1066,127.0854823,35.821071,Y,겸용도로,1.55,0,0,0,0,3,3,3,2026-05-14
